=== Job Started ===
Node: c0904a-s5.ufhpc
MODEL: meta-llama/Llama-3.2-3B
MODE: batch
--------------------------------------------------------
Running Batch Sweep: Model=meta-llama/Llama-3.2-3B, BS=1, Dtype=bfloat16
hf ({'pretrained': 'meta-llama/Llama-3.2-3B', 'dtype': 'bfloat16'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.4302|±  |0.0045|
|                                              |       |none            |      |acc_norm   |↑  |0.4302|±  |0.0045|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.4142|±  |0.0380|
|                                              |       |none            |     0|acc_norm   |↑  |0.4142|±  |0.0380|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.3108|±  |0.0382|
|                                              |       |none            |     0|acc_norm   |↑  |0.3108|±  |0.0382|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.3110|±  |0.0363|
|                                              |       |none            |     0|acc_norm   |↑  |0.3110|±  |0.0363|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.4875|±  |0.0396|
|                                              |       |none            |     0|acc_norm   |↑  |0.4875|±  |0.0396|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.3273|±  |0.0366|
|                                              |       |none            |     0|acc_norm   |↑  |0.3273|±  |0.0366|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4354|±  |0.0344|
|                                              |       |none            |     0|acc_norm   |↑  |0.4354|±  |0.0344|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3250|±  |0.0371|
|                                              |       |none            |     0|acc_norm   |↑  |0.3250|±  |0.0371|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.5267|±  |0.0438|
|                                              |       |none            |     0|acc_norm   |↑  |0.5267|±  |0.0438|
