=== Job Started ===
Node: c0906a-s15.ufhpc
MODEL: mistralai/Mistral-7B-v0.3
MODE: batch
--------------------------------------------------------
Running Batch Sweep: Model=mistralai/Mistral-7B-v0.3, BS=1, Dtype=bfloat16
hf ({'pretrained': 'mistralai/Mistral-7B-v0.3', 'dtype': 'bfloat16'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.3958|±  |0.0045|
|                                              |       |none            |      |acc_norm   |↑  |0.3958|±  |0.0045|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.3195|±  |0.0360|
|                                              |       |none            |     0|acc_norm   |↑  |0.3195|±  |0.0360|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.2635|±  |0.0363|
|                                              |       |none            |     0|acc_norm   |↑  |0.2635|±  |0.0363|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.2744|±  |0.0349|
|                                              |       |none            |     0|acc_norm   |↑  |0.2744|±  |0.0349|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.3875|±  |0.0386|
|                                              |       |none            |     0|acc_norm   |↑  |0.3875|±  |0.0386|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.3394|±  |0.0370|
|                                              |       |none            |     0|acc_norm   |↑  |0.3394|±  |0.0370|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4258|±  |0.0343|
|                                              |       |none            |     0|acc_norm   |↑  |0.4258|±  |0.0343|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3812|±  |0.0385|
|                                              |       |none            |     0|acc_norm   |↑  |0.3812|±  |0.0385|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.5496|±  |0.0436|
|                                              |       |none            |     0|acc_norm   |↑  |0.5496|±  |0.0436|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.3456|±  |0.0409|
|                                              |       |none            |     0|acc_norm   |↑  |0.3456|±  |0.0409|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.5327|±  |0.0485|
|                                              |       |none            |     0|acc_norm   |↑  |0.5327|±  |0.0485|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.4334|±  |0.0276|
|                                              |       |none            |     0|acc_norm   |↑  |0.4334|±  |0.0276|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3333|±  |0.0331|
|                                              |       |none            |     0|acc_norm   |↑  |0.3333|±  |0.0331|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.4525|±  |0.0373|
|                                              |       |none            |     0|acc_norm   |↑  |0.4525|±  |0.0373|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.3418|±  |0.0309|
|                                              |       |none            |     0|acc_norm   |↑  |0.3418|±  |0.0309|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.2358|±  |0.0414|
|                                              |       |none            |     0|acc_norm   |↑  |0.2358|±  |0.0414|
