=== Attention Sweep Job Started ===
Node: c1010a-s5.ufhpc
MODEL: meta-llama/Llama-3.2-3B
--------------------------------------------------------
Running Attention Sweep: Model=meta-llama/Llama-3.2-3B, Attn=eager, Dtype=bfloat16
hf ({'pretrained': 'meta-llama/Llama-3.2-3B', 'dtype': 'bfloat16', 'parallelize': True, 'attn_implementation': 'eager'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.4284|±  |0.0045|
|                                              |       |none            |      |acc_norm   |↑  |0.4284|±  |0.0045|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.4024|±  |0.0378|
|                                              |       |none            |     0|acc_norm   |↑  |0.4024|±  |0.0378|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.3108|±  |0.0382|
|                                              |       |none            |     0|acc_norm   |↑  |0.3108|±  |0.0382|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.3232|±  |0.0366|
|                                              |       |none            |     0|acc_norm   |↑  |0.3232|±  |0.0366|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.4688|±  |0.0396|
|                                              |       |none            |     0|acc_norm   |↑  |0.4688|±  |0.0396|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.3212|±  |0.0365|
|                                              |       |none            |     0|acc_norm   |↑  |0.3212|±  |0.0365|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4498|±  |0.0345|
|                                              |       |none            |     0|acc_norm   |↑  |0.4498|±  |0.0345|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3250|±  |0.0371|
|                                              |       |none            |     0|acc_norm   |↑  |0.3250|±  |0.0371|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.5267|±  |0.0438|
|                                              |       |none            |     0|acc_norm   |↑  |0.5267|±  |0.0438|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.3676|±  |0.0415|
|                                              |       |none            |     0|acc_norm   |↑  |0.3676|±  |0.0415|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.4766|±  |0.0485|
|                                              |       |none            |     0|acc_norm   |↑  |0.4766|±  |0.0485|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.4365|±  |0.0276|
|                                              |       |none            |     0|acc_norm   |↑  |0.4365|±  |0.0276|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3186|±  |0.0327|
|                                              |       |none            |     0|acc_norm   |↑  |0.3186|±  |0.0327|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.4581|±  |0.0373|
|                                              |       |none            |     0|acc_norm   |↑  |0.4581|±  |0.0373|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.3797|±  |0.0316|
