=== Attention Sweep Job Started ===
Node: c1109a-s25.ufhpc
MODEL: meta-llama/Meta-Llama-3.1-8B
--------------------------------------------------------
Running Attention Sweep: Model=meta-llama/Meta-Llama-3.1-8B, Attn=eager, Dtype=bfloat16
hf ({'pretrained': 'meta-llama/Meta-Llama-3.1-8B', 'dtype': 'bfloat16', 'parallelize': True, 'attn_implementation': 'eager'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.5115|±  |0.0045|
|                                              |       |none            |      |acc_norm   |↑  |0.5115|±  |0.0045|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.5089|±  |0.0386|
|                                              |       |none            |     0|acc_norm   |↑  |0.5089|±  |0.0386|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.3378|±  |0.0390|
|                                              |       |none            |     0|acc_norm   |↑  |0.3378|±  |0.0390|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.3049|±  |0.0361|
|                                              |       |none            |     0|acc_norm   |↑  |0.3049|±  |0.0361|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.6250|±  |0.0384|
|                                              |       |none            |     0|acc_norm   |↑  |0.6250|±  |0.0384|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.3636|±  |0.0376|
|                                              |       |none            |     0|acc_norm   |↑  |0.3636|±  |0.0376|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.5742|±  |0.0343|
|                                              |       |none            |     0|acc_norm   |↑  |0.5742|±  |0.0343|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.4500|±  |0.0395|
|                                              |       |none            |     0|acc_norm   |↑  |0.4500|±  |0.0395|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.6947|±  |0.0404|
|                                              |       |none            |     0|acc_norm   |↑  |0.6947|±  |0.0404|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.4118|±  |0.0424|
|                                              |       |none            |     0|acc_norm   |↑  |0.4118|±  |0.0424|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.5421|±  |0.0484|
|                                              |       |none            |     0|acc_norm   |↑  |0.5421|±  |0.0484|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.5294|±  |0.0278|
|                                              |       |none            |     0|acc_norm   |↑  |0.5294|±  |0.0278|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3480|±  |0.0334|
|                                              |       |none            |     0|acc_norm   |↑  |0.3480|±  |0.0334|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.6034|±  |0.0367|
|                                              |       |none            |     0|acc_norm   |↑  |0.6034|±  |0.0367|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.4515|±  |0.0324|
|                                              |       |none            |     0|acc_norm   |↑  |0.4515|±  |0.0324|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.2547|±  |0.0425|
|                                              |       |none            |     0|acc_norm   |↑  |0.2547|±  |0.0425|
| - cmmlu_college_education                    |      1|none            |     0|acc        |↑  |0.6449|±  |0.0465|
|                                              |       |none            |     0|acc_norm   |↑  |0.6449|±  |0.0465|
