=== Attention Sweep Job Started ===
Node: c1107a-s15.ufhpc
MODEL: mistralai/Mistral-7B-v0.3
--------------------------------------------------------
Running Attention Sweep: Model=mistralai/Mistral-7B-v0.3, Attn=eager, Dtype=bfloat16
hf ({'pretrained': 'mistralai/Mistral-7B-v0.3', 'dtype': 'bfloat16', 'parallelize': True, 'attn_implementation': 'eager'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.3969|±  |0.0045|
|                                              |       |none            |      |acc_norm   |↑  |0.3969|±  |0.0045|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.3136|±  |0.0358|
|                                              |       |none            |     0|acc_norm   |↑  |0.3136|±  |0.0358|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.2568|±  |0.0360|
|                                              |       |none            |     0|acc_norm   |↑  |0.2568|±  |0.0360|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.2744|±  |0.0349|
|                                              |       |none            |     0|acc_norm   |↑  |0.2744|±  |0.0349|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.3750|±  |0.0384|
|                                              |       |none            |     0|acc_norm   |↑  |0.3750|±  |0.0384|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.3394|±  |0.0370|
|                                              |       |none            |     0|acc_norm   |↑  |0.3394|±  |0.0370|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4258|±  |0.0343|
|                                              |       |none            |     0|acc_norm   |↑  |0.4258|±  |0.0343|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3875|±  |0.0386|
|                                              |       |none            |     0|acc_norm   |↑  |0.3875|±  |0.0386|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.5420|±  |0.0437|
|                                              |       |none            |     0|acc_norm   |↑  |0.5420|±  |0.0437|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.3529|±  |0.0411|
|                                              |       |none            |     0|acc_norm   |↑  |0.3529|±  |0.0411|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.5421|±  |0.0484|
|                                              |       |none            |     0|acc_norm   |↑  |0.5421|±  |0.0484|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.4334|±  |0.0276|
|                                              |       |none            |     0|acc_norm   |↑  |0.4334|±  |0.0276|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3333|±  |0.0331|
|                                              |       |none            |     0|acc_norm   |↑  |0.3333|±  |0.0331|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.4581|±  |0.0373|
|                                              |       |none            |     0|acc_norm   |↑  |0.4581|±  |0.0373|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.3376|±  |0.0308|
|                                              |       |none            |     0|acc_norm   |↑  |0.3376|±  |0.0308|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.2170|±  |0.0402|
|                                              |       |none            |     0|acc_norm   |↑  |0.2170|±  |0.0402|
