=== Attention Sweep Job Started ===
Node: c0904a-s15.ufhpc
MODEL: google/gemma-2-2b
--------------------------------------------------------
Running Attention Sweep: Model=google/gemma-2-2b, Attn=eager, Dtype=bfloat16
hf ({'pretrained': 'google/gemma-2-2b', 'dtype': 'bfloat16', 'parallelize': True, 'attn_implementation': 'eager'}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.3453|±  |0.0044|
|                                              |       |none            |      |acc_norm   |↑  |0.3453|±  |0.0044|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.2959|±  |0.0352|
|                                              |       |none            |     0|acc_norm   |↑  |0.2959|±  |0.0352|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.2635|±  |0.0363|
|                                              |       |none            |     0|acc_norm   |↑  |0.2635|±  |0.0363|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.2500|±  |0.0339|
|                                              |       |none            |     0|acc_norm   |↑  |0.2500|±  |0.0339|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.3812|±  |0.0385|
|                                              |       |none            |     0|acc_norm   |↑  |0.3812|±  |0.0385|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.2727|±  |0.0348|
|                                              |       |none            |     0|acc_norm   |↑  |0.2727|±  |0.0348|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4067|±  |0.0341|
|                                              |       |none            |     0|acc_norm   |↑  |0.4067|±  |0.0341|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3187|±  |0.0370|
|                                              |       |none            |     0|acc_norm   |↑  |0.3187|±  |0.0370|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.4275|±  |0.0434|
|                                              |       |none            |     0|acc_norm   |↑  |0.4275|±  |0.0434|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.3309|±  |0.0405|
|                                              |       |none            |     0|acc_norm   |↑  |0.3309|±  |0.0405|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.3551|±  |0.0465|
|                                              |       |none            |     0|acc_norm   |↑  |0.3551|±  |0.0465|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.3560|±  |0.0267|
|                                              |       |none            |     0|acc_norm   |↑  |0.3560|±  |0.0267|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3088|±  |0.0324|
|                                              |       |none            |     0|acc_norm   |↑  |0.3088|±  |0.0324|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.3687|±  |0.0362|
|                                              |       |none            |     0|acc_norm   |↑  |0.3687|±  |0.0362|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.2954|±  |0.0297|
|                                              |       |none            |     0|acc_norm   |↑  |0.2954|±  |0.0297|
