=== Job Started ===
Node: c0903a-s15.ufhpc
MODEL: 01-ai/Yi-34B
MODE: batch
--------------------------------------------------------
Running Batch Sweep: Model=01-ai/Yi-34B, BS=1, Dtype=bfloat16
hf ({'pretrained': '01-ai/Yi-34B', 'dtype': 'bfloat16', 'parallelize': True}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.8224|±  |0.0034|
|                                              |       |none            |      |acc_norm   |↑  |0.8224|±  |0.0034|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.7929|±  |0.0313|
|                                              |       |none            |     0|acc_norm   |↑  |0.7929|±  |0.0313|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.9122|±  |0.0233|
|                                              |       |none            |     0|acc_norm   |↑  |0.9122|±  |0.0233|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.5061|±  |0.0392|
|                                              |       |none            |     0|acc_norm   |↑  |0.5061|±  |0.0392|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.9625|±  |0.0151|
|                                              |       |none            |     0|acc_norm   |↑  |0.9625|±  |0.0151|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.6242|±  |0.0378|
|                                              |       |none            |     0|acc_norm   |↑  |0.6242|±  |0.0378|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.7512|±  |0.0300|
|                                              |       |none            |     0|acc_norm   |↑  |0.7512|±  |0.0300|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.8375|±  |0.0293|
|                                              |       |none            |     0|acc_norm   |↑  |0.8375|±  |0.0293|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.9771|±  |0.0131|
|                                              |       |none            |     0|acc_norm   |↑  |0.9771|±  |0.0131|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.8015|±  |0.0343|
|                                              |       |none            |     0|acc_norm   |↑  |0.8015|±  |0.0343|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.8879|±  |0.0306|
|                                              |       |none            |     0|acc_norm   |↑  |0.8879|±  |0.0306|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.9381|±  |0.0134|
|                                              |       |none            |     0|acc_norm   |↑  |0.9381|±  |0.0134|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.7402|±  |0.0308|
|                                              |       |none            |     0|acc_norm   |↑  |0.7402|±  |0.0308|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.9330|±  |0.0187|
|                                              |       |none            |     0|acc_norm   |↑  |0.9330|±  |0.0187|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.8354|±  |0.0241|
|                                              |       |none            |     0|acc_norm   |↑  |0.8354|±  |0.0241|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.3302|±  |0.0459|
|                                              |       |none            |     0|acc_norm   |↑  |0.3302|±  |0.0459|
| - cmmlu_college_education                    |      1|none            |     0|acc        |↑  |0.9626|±  |0.0184|
|                                              |       |none            |     0|acc_norm   |↑  |0.9626|±  |0.0184|
| - cmmlu_college_engineering_hydrology        |      1|none            |     0|acc        |↑  |0.8679|±  |0.0330|
|                                              |       |none            |     0|acc_norm   |↑  |0.8679|±  |0.0330|
| - cmmlu_college_law                          |      1|none            |     0|acc        |↑  |0.8056|±  |0.0383|
