=== Job Started ===
Node: c0904a-s25.ufhpc
MODEL: google/gemma-2-2b
MODE: precision
--------------------------------------------------------
Running Precision Sweep: Model=google/gemma-2-2b, Dtype=float32
hf ({'pretrained': 'google/gemma-2-2b', 'dtype': 'float32', 'parallelize': True}), gen_kwargs: ({'temperature': 0, 'do_sample': False}), limit: None, num_fewshot: None, batch_size: 1
|                    Tasks                     |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|----------------------------------------------|------:|----------------|-----:|-----------|---|-----:|---|-----:|
|cmmlu                                         |      1|none            |      |acc        |↑  |0.3453|±  |0.0044|
|                                              |       |none            |      |acc_norm   |↑  |0.3453|±  |0.0044|
| - cmmlu_agronomy                             |      1|none            |     0|acc        |↑  |0.2840|±  |0.0348|
|                                              |       |none            |     0|acc_norm   |↑  |0.2840|±  |0.0348|
| - cmmlu_anatomy                              |      1|none            |     0|acc        |↑  |0.2432|±  |0.0354|
|                                              |       |none            |     0|acc_norm   |↑  |0.2432|±  |0.0354|
| - cmmlu_ancient_chinese                      |      1|none            |     0|acc        |↑  |0.2683|±  |0.0347|
|                                              |       |none            |     0|acc_norm   |↑  |0.2683|±  |0.0347|
| - cmmlu_arts                                 |      1|none            |     0|acc        |↑  |0.3688|±  |0.0383|
|                                              |       |none            |     0|acc_norm   |↑  |0.3688|±  |0.0383|
| - cmmlu_astronomy                            |      1|none            |     0|acc        |↑  |0.2848|±  |0.0352|
|                                              |       |none            |     0|acc_norm   |↑  |0.2848|±  |0.0352|
| - cmmlu_business_ethics                      |      1|none            |     0|acc        |↑  |0.4019|±  |0.0340|
|                                              |       |none            |     0|acc_norm   |↑  |0.4019|±  |0.0340|
| - cmmlu_chinese_civil_service_exam           |      1|none            |     0|acc        |↑  |0.3312|±  |0.0373|
|                                              |       |none            |     0|acc_norm   |↑  |0.3312|±  |0.0373|
| - cmmlu_chinese_driving_rule                 |      1|none            |     0|acc        |↑  |0.4046|±  |0.0430|
|                                              |       |none            |     0|acc_norm   |↑  |0.4046|±  |0.0430|
| - cmmlu_chinese_food_culture                 |      1|none            |     0|acc        |↑  |0.3382|±  |0.0407|
|                                              |       |none            |     0|acc_norm   |↑  |0.3382|±  |0.0407|
| - cmmlu_chinese_foreign_policy               |      1|none            |     0|acc        |↑  |0.3645|±  |0.0467|
|                                              |       |none            |     0|acc_norm   |↑  |0.3645|±  |0.0467|
| - cmmlu_chinese_history                      |      1|none            |     0|acc        |↑  |0.3498|±  |0.0266|
|                                              |       |none            |     0|acc_norm   |↑  |0.3498|±  |0.0266|
| - cmmlu_chinese_literature                   |      1|none            |     0|acc        |↑  |0.3039|±  |0.0323|
|                                              |       |none            |     0|acc_norm   |↑  |0.3039|±  |0.0323|
| - cmmlu_chinese_teacher_qualification        |      1|none            |     0|acc        |↑  |0.3743|±  |0.0363|
|                                              |       |none            |     0|acc_norm   |↑  |0.3743|±  |0.0363|
| - cmmlu_clinical_knowledge                   |      1|none            |     0|acc        |↑  |0.2996|±  |0.0298|
|                                              |       |none            |     0|acc_norm   |↑  |0.2996|±  |0.0298|
| - cmmlu_college_actuarial_science            |      1|none            |     0|acc        |↑  |0.2264|±  |0.0408|
