Model,Dataset,Precision,Flip Rate (%),Flips,Total
Qwen2.5-7B,piqa,float32,0.0,0,1000
Qwen2.5-7B,piqa,float16,0.1,1,1000
Qwen2.5-7B,piqa,bfloat16,2.8000000000000003,28,1000
Qwen2.5-7B,commonsense_qa,float32,0.0,0,1000
Qwen2.5-7B,commonsense_qa,float16,0.0,0,1000
Qwen2.5-7B,commonsense_qa,bfloat16,0.6,6,1000
Qwen2.5-7B,cmmlu,float32,0.0,0,169
Qwen2.5-7B,cmmlu,float16,0.0,0,169
Qwen2.5-7B,cmmlu,bfloat16,1.7751479289940828,3,169
Meta-Llama-3-8B,piqa,float32,0.0,0,1000
Meta-Llama-3-8B,piqa,float16,0.0,0,1000
Meta-Llama-3-8B,piqa,bfloat16,1.0999999999999999,11,1000
Meta-Llama-3-8B,commonsense_qa,float32,0.0,0,1000
Meta-Llama-3-8B,commonsense_qa,float16,0.1,1,1000
Meta-Llama-3-8B,commonsense_qa,bfloat16,0.7000000000000001,7,1000
Meta-Llama-3-8B,cmmlu,float32,0.0,0,169
Meta-Llama-3-8B,cmmlu,float16,0.0,0,169
Meta-Llama-3-8B,cmmlu,bfloat16,1.7751479289940828,3,169
deepseek-llm-7b-base,piqa,float32,0.0,0,1000
deepseek-llm-7b-base,piqa,float16,0.1,1,1000
deepseek-llm-7b-base,piqa,bfloat16,1.2,12,1000
deepseek-llm-7b-base,commonsense_qa,float32,0.0,0,1000
deepseek-llm-7b-base,commonsense_qa,float16,0.7000000000000001,7,1000
deepseek-llm-7b-base,commonsense_qa,bfloat16,3.5999999999999996,36,1000
deepseek-llm-7b-base,cmmlu,float32,0.0,0,169
deepseek-llm-7b-base,cmmlu,float16,0.591715976331361,1,169
deepseek-llm-7b-base,cmmlu,bfloat16,3.5502958579881656,6,169
Qwen2.5-0.5B,piqa,float32,0.0,0,1000
Qwen2.5-0.5B,piqa,float16,21.6,216,1000
Qwen2.5-0.5B,piqa,bfloat16,1.7999999999999998,18,1000
Qwen2.5-0.5B,commonsense_qa,float32,0.0,0,1000
Qwen2.5-0.5B,commonsense_qa,float16,11.899999999999999,119,1000
Qwen2.5-0.5B,commonsense_qa,bfloat16,2.0,20,1000
Qwen2.5-0.5B,cmmlu,float32,0.0,0,169
Qwen2.5-0.5B,cmmlu,float16,8.875739644970414,15,169
Qwen2.5-0.5B,cmmlu,bfloat16,2.366863905325444,4,169
Qwen2.5-3B,piqa,float32,0.0,0,1000
Qwen2.5-3B,piqa,float16,87.4,874,1000
Qwen2.5-3B,piqa,bfloat16,2.3,23,1000
Qwen2.5-3B,commonsense_qa,float32,0.0,0,1000
Qwen2.5-3B,commonsense_qa,float16,86.6,866,1000
Qwen2.5-3B,commonsense_qa,bfloat16,1.0999999999999999,11,1000
Qwen2.5-3B,cmmlu,float32,0.0,0,169
Qwen2.5-3B,cmmlu,float16,86.98224852071006,147,169
Qwen2.5-3B,cmmlu,bfloat16,2.366863905325444,4,169
Qwen3-4B,piqa,float32,0.0,0,1000
Qwen3-4B,piqa,float16,0.2,2,1000
Qwen3-4B,piqa,bfloat16,3.9,39,1000
Qwen3-4B,commonsense_qa,float32,0.0,0,1000
Qwen3-4B,commonsense_qa,float16,0.3,3,1000
Qwen3-4B,commonsense_qa,bfloat16,1.0999999999999999,11,1000
Qwen3-4B,cmmlu,float32,0.0,0,169
Qwen3-4B,cmmlu,float16,0.0,0,169
Qwen3-4B,cmmlu,bfloat16,1.183431952662722,2,169
Meta-Llama-3-8B,piqa,float32,0.0,0,1000
Meta-Llama-3-8B,piqa,float16,0.0,0,1000
Meta-Llama-3-8B,piqa,bfloat16,1.0999999999999999,11,1000
Meta-Llama-3-8B,commonsense_qa,float32,0.0,0,1000
Meta-Llama-3-8B,commonsense_qa,float16,0.1,1,1000
Meta-Llama-3-8B,commonsense_qa,bfloat16,0.7000000000000001,7,1000
Meta-Llama-3-8B,cmmlu,float32,0.0,0,169
Meta-Llama-3-8B,cmmlu,float16,0.0,0,169
Meta-Llama-3-8B,cmmlu,bfloat16,1.7751479289940828,3,169
Mistral-7B-Instruct-v0.2,piqa,float32,0.0,0,1000
Mistral-7B-Instruct-v0.2,piqa,float16,0.2,2,1000
Mistral-7B-Instruct-v0.2,piqa,bfloat16,1.7999999999999998,18,1000
Mistral-7B-Instruct-v0.2,commonsense_qa,float32,0.0,0,1000
Mistral-7B-Instruct-v0.2,commonsense_qa,float16,0.1,1,1000
Mistral-7B-Instruct-v0.2,commonsense_qa,bfloat16,0.2,2,1000
Mistral-7B-Instruct-v0.2,cmmlu,float32,0.0,0,169
Mistral-7B-Instruct-v0.2,cmmlu,float16,0.0,0,169
Mistral-7B-Instruct-v0.2,cmmlu,bfloat16,1.183431952662722,2,169
