model,dataset,variant,exact_match_vs_fp32,token_mismatch_rate,flips_cured_count,first_divergence_median,benchmark_acc,benchmark_gap_vs_fp32,benchmark_gap_vs_baseline,latency_overhead_percent
Llama-3.2-1B,piqa,attention,0.978,0.022,0,0.0,0.494,0.0,0.0,81.22885266071978
Llama-3.2-1B,piqa,fp16_attention,1.0,0.0,0,-1.0,0.46,-0.033999999999999975,0.0,20.802011313639213
Llama-3.2-1B,piqa,norm,0.978,0.022,0,0.0,0.494,0.0,0.0,8.746881301479892
Llama-3.2-1B,piqa,fp16_norm,1.0,0.0,0,-1.0,0.46,-0.033999999999999975,0.0,5.7768698931489615
Llama-3.2-1B,piqa,lm_head,0.992,0.008,0,0.0,0.494,0.0,0.0,30.740114152910223
Llama-3.2-1B,piqa,fp16_lm_head,1.0,0.0,0,-1.0,0.46,-0.033999999999999975,0.0,2.0521684475172774
Llama-3.2-1B,piqa,attention_lm_head,0.992,0.008,0,0.0,0.494,0.0,0.0,89.1349670186951
Llama-3.2-1B,piqa,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.46,-0.033999999999999975,0.0,22.48020113136393
Llama-3.2-1B,cmmlu,attention,0.9349112426035503,0.0650887573964497,0,0.0,0.28994082840236685,-0.011834319526627224,0.0,48.647007015519186
Llama-3.2-1B,cmmlu,fp16_attention,0.98,0.02,0,0.0,0.33,0.028224852071005946,0.0,39.140938955157246
Llama-3.2-1B,cmmlu,norm,0.9112426035502958,0.08875739644970414,1,0.0,0.3076923076923077,0.00591715976331364,0.017751479289940864,-4.004312570231116
Llama-3.2-1B,cmmlu,fp16_norm,0.99,0.01,0,0.0,0.33,0.028224852071005946,0.0,1.244657778911784
Llama-3.2-1B,cmmlu,lm_head,0.9822485207100592,0.01775147928994083,2,0.0,0.30177514792899407,0.0,0.011834319526627224,16.91924560391169
Llama-3.2-1B,cmmlu,fp16_lm_head,1.0,0.0,0,-1.0,0.33,0.028224852071005946,0.0,2.5698475473623805
Llama-3.2-1B,cmmlu,attention_lm_head,0.9763313609467456,0.023668639053254437,2,0.0,0.30177514792899407,0.0,0.011834319526627224,36.74492058189327
Llama-3.2-1B,cmmlu,fp16_attention_lm_head,1.0,0.0,1,-1.0,0.34,0.038224852071005955,0.010000000000000009,47.65899087835683
Llama-3.2-3B,piqa,attention,0.964,0.036,1,0.0,0.522,0.0,0.0020000000000000018,56.22255464942334
Llama-3.2-3B,piqa,fp16_attention,0.99,0.01,0,0.0,0.48,-0.04200000000000004,0.0,46.88097116311685
Llama-3.2-3B,piqa,norm,0.962,0.038,1,0.0,0.524,0.0020000000000000018,0.0040000000000000036,8.400757076141918
Llama-3.2-3B,piqa,fp16_norm,0.99,0.01,0,0.0,0.48,-0.04200000000000004,0.0,5.871680252432299
Llama-3.2-3B,piqa,lm_head,0.984,0.016,1,0.0,0.522,0.0,0.0020000000000000018,4.554252655396307
Llama-3.2-3B,piqa,fp16_lm_head,0.99,0.01,0,0.0,0.48,-0.04200000000000004,0.0,2.562888947322284
Llama-3.2-3B,piqa,attention_lm_head,0.984,0.016,1,0.0,0.522,0.0,0.0020000000000000018,61.07867265035629
Llama-3.2-3B,piqa,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.48,-0.04200000000000004,0.0,38.66070645981243
Llama-3.2-3B,cmmlu,attention,0.9526627218934911,0.047337278106508875,0,0.0,0.40236686390532544,-0.017751479289940808,-0.005917159763313584,57.70420792079207
Llama-3.2-3B,cmmlu,fp16_attention,0.98,0.02,0,0.0,0.38,-0.04011834319526625,0.0,55.34062060717957
Llama-3.2-3B,cmmlu,norm,0.9289940828402367,0.07100591715976332,1,0.0,0.40236686390532544,-0.017751479289940808,-0.005917159763313584,28.549632980539428
Llama-3.2-3B,cmmlu,fp16_norm,0.97,0.03,0,0.0,0.38,-0.04011834319526625,0.0,8.56639321905881
Llama-3.2-3B,cmmlu,lm_head,0.9822485207100592,0.01775147928994083,3,0.0,0.4260355029585799,0.00591715976331364,0.017751479289940864,5.004907818368043
Llama-3.2-3B,cmmlu,fp16_lm_head,1.0,0.0,0,-1.0,0.39,-0.03011834319526624,0.010000000000000009,6.622537397981665
Llama-3.2-3B,cmmlu,attention_lm_head,0.9881656804733728,0.011834319526627219,2,0.0,0.41420118343195267,-0.005917159763313584,0.00591715976331364,64.7234551041311
Llama-3.2-3B,cmmlu,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.38,-0.04011834319526625,0.0,62.371231353460765
Meta-Llama-3.1-8B,piqa,attention,0.986,0.014,1,0.0,0.602,-0.0020000000000000018,-0.0020000000000000018,83.07182489280223
Meta-Llama-3.1-8B,piqa,fp16_attention,1.0,0.0,0,-1.0,0.58,-0.02400000000000002,0.0,55.71538174020814
Meta-Llama-3.1-8B,piqa,norm,0.982,0.018,2,0.0,0.604,0.0,0.0,9.484495716864183
Meta-Llama-3.1-8B,piqa,fp16_norm,1.0,0.0,0,-1.0,0.58,-0.02400000000000002,0.0,13.62382704148879
Meta-Llama-3.1-8B,piqa,lm_head,0.982,0.018,1,0.0,0.602,-0.0020000000000000018,-0.0020000000000000018,9.99923600699053
Meta-Llama-3.1-8B,piqa,fp16_lm_head,1.0,0.0,0,-1.0,0.58,-0.02400000000000002,0.0,2.50978694942261
Meta-Llama-3.1-8B,piqa,attention_lm_head,0.984,0.016,2,0.0,0.606,0.0020000000000000018,0.0020000000000000018,99.04787371195553
Meta-Llama-3.1-8B,piqa,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.58,-0.02400000000000002,0.0,61.250762300080666
Meta-Llama-3.1-8B,cmmlu,attention,0.9644970414201184,0.03550295857988166,0,0.0,0.46153846153846156,0.0,0.0,46.393308550185864
Meta-Llama-3.1-8B,cmmlu,fp16_attention,1.0,0.0,0,-1.0,0.47,0.00846153846153841,0.0,84.91382172432438
Meta-Llama-3.1-8B,cmmlu,norm,0.9467455621301775,0.05325443786982249,0,0.0,0.46153846153846156,0.0,0.0,-16.020817843866176
Meta-Llama-3.1-8B,cmmlu,fp16_norm,1.0,0.0,0,-1.0,0.47,0.00846153846153841,0.0,9.774143671564484
Meta-Llama-3.1-8B,cmmlu,lm_head,0.9822485207100592,0.01775147928994083,0,0.0,0.46153846153846156,0.0,0.0,-17.999256505576213
Meta-Llama-3.1-8B,cmmlu,fp16_lm_head,1.0,0.0,0,-1.0,0.47,0.00846153846153841,0.0,8.206144885743827
Meta-Llama-3.1-8B,cmmlu,attention_lm_head,0.9881656804733728,0.011834319526627219,0,0.0,0.46153846153846156,0.0,0.0,46.364312267658
Meta-Llama-3.1-8B,cmmlu,fp16_attention_lm_head,1.0,0.0,0,-1.0,0.47,0.00846153846153841,0.0,89.14922074349514
Mistral-7B-v0.3,piqa,attention,0.98,0.02,1,0.0,0.512,0.0,0.0020000000000000018,72.24943661849284
Mistral-7B-v0.3,piqa,fp16_attention,1.0,0.0,0,-1.0,0.47,-0.04200000000000004,0.0,72.44002958892528
Mistral-7B-v0.3,piqa,norm,0.976,0.024,1,0.0,0.512,0.0,0.0020000000000000018,4.474423784705617
Mistral-7B-v0.3,piqa,fp16_norm,1.0,0.0,0,-1.0,0.47,-0.04200000000000004,0.0,6.733106268137434
Mistral-7B-v0.3,piqa,lm_head,0.986,0.014,1,0.0,0.512,0.0,0.0020000000000000018,-2.084729098328564
