Model,Dataset,Variant,Target Layer,Accuracy,Mismatch Rate
Llama-3.2-1B,cmmlu,attention_norm,0,0.28994082840236685,0.01775147928994083
Llama-3.2-1B,cmmlu,attention_norm,1,0.3076923076923077,0.01775147928994083
Llama-3.2-1B,cmmlu,attention_norm,2,0.2958579881656805,0.01775147928994083
Llama-3.2-1B,cmmlu,attention_norm,3,0.2958579881656805,0.01775147928994083
Llama-3.2-1B,cmmlu,attention_norm,4,0.3076923076923077,0.029585798816568046
Llama-3.2-1B,cmmlu,attention_norm,5,0.30177514792899407,0.03550295857988166
Llama-3.2-1B,cmmlu,attention_norm,6,0.30177514792899407,0.0
Llama-3.2-1B,cmmlu,attention_norm,7,0.30177514792899407,0.0
Llama-3.2-1B,cmmlu,attention_norm,8,0.30177514792899407,0.011834319526627219
Llama-3.2-1B,cmmlu,attention_norm,9,0.28994082840236685,0.023668639053254437
Llama-3.2-1B,cmmlu,attention_norm,10,0.2958579881656805,0.023668639053254437
Llama-3.2-1B,cmmlu,attention_norm,11,0.3136094674556213,0.01775147928994083
Llama-3.2-1B,cmmlu,attention_norm,12,0.30177514792899407,0.005917159763313609
Llama-3.2-1B,cmmlu,attention_norm,13,0.3076923076923077,0.011834319526627219
Llama-3.2-1B,cmmlu,attention_norm,14,0.2958579881656805,0.023668639053254437
Llama-3.2-1B,cmmlu,attention_norm,15,0.2958579881656805,0.01775147928994083
Llama-3.2-1B,piqa,attention_norm,0,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,1,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,2,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,3,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,4,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,5,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,6,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,7,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,8,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,9,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,10,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,11,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,12,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,13,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,14,0.492,0.5
Llama-3.2-1B,piqa,attention_norm,15,0.492,0.5
Llama-3.2-3B,cmmlu,attention_norm,0,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,1,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,2,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,3,0.40828402366863903,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,4,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,5,0.41420118343195267,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,6,0.40828402366863903,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,7,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,8,0.40828402366863903,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,9,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,10,0.41420118343195267,0.03550295857988166
Llama-3.2-3B,cmmlu,attention_norm,11,0.39644970414201186,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,12,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,13,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,14,0.42011834319526625,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,15,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,16,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,17,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,18,0.41420118343195267,0.03550295857988166
Llama-3.2-3B,cmmlu,attention_norm,19,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,20,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,21,0.40828402366863903,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,22,0.40828402366863903,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,23,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,cmmlu,attention_norm,24,0.40828402366863903,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,25,0.40828402366863903,0.029585798816568046
Llama-3.2-3B,cmmlu,attention_norm,26,0.40236686390532544,0.023668639053254437
Llama-3.2-3B,cmmlu,attention_norm,27,0.40828402366863903,0.01775147928994083
Llama-3.2-3B,piqa,attention_norm,0,0.51,0.502
Llama-3.2-3B,piqa,attention_norm,1,0.513,0.502
Llama-3.2-3B,piqa,attention_norm,2,0.511,0.505
Llama-3.2-3B,piqa,attention_norm,3,0.511,0.506
Llama-3.2-3B,piqa,attention_norm,4,0.512,0.504
Llama-3.2-3B,piqa,attention_norm,5,0.512,0.505
Llama-3.2-3B,piqa,attention_norm,6,0.511,0.505
Llama-3.2-3B,piqa,attention_norm,7,0.513,0.503
Llama-3.2-3B,piqa,attention_norm,8,0.513,0.503
Llama-3.2-3B,piqa,attention_norm,9,0.513,0.505
Llama-3.2-3B,piqa,attention_norm,10,0.51,0.505
Llama-3.2-3B,piqa,attention_norm,11,0.51,0.505
Llama-3.2-3B,piqa,attention_norm,12,0.513,0.504
Llama-3.2-3B,piqa,attention_norm,13,0.511,0.504
Llama-3.2-3B,piqa,attention_norm,14,0.509,0.505
